Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Armenia;ARM;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2760.2495;2476.603092;1491.612672;1440.393678;1591.478835;1766.910148;1921.549989;2039.788323;2239.427583;2376.519169;2530.743947;2844.362664;3282.117063;3836.225568;4377.227597;5172.218921;6072.759245;7136.754055;7827.316667;6811.69248;7095.21268;7624.267726;8942.635379;9454.878528;9736.234975;9756.840848;10570.27204;12066.00431;12877.49375;14975.75395;14706.3173;15921.70528;19161.37005;21534.03054;22823.17953
American Samoa;ASM;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12996.04535;13658.49861;13908.45127;14719.50952;15736.16811;15062.35225;16016.93319;16836.06194;17496.14875;18088.38224;19318.89658;18568.67991;18812.78278;20127.34557;21628.68365;23484.80011;26949.40858;29850.56757;29978.20959;26156.91517;24071.0298;23804.07901;23011.73866;21760.52329;21671.47379;20985.43883;21320.43751;21422.00216;24524.2138;26550.58984;22370.09187;25745.49581;29933.88937;31601.75271;33602.354
Australia;AUS;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17381.22527;17835.83046;18253.96976;19216.30665;20170.78476;21038.66679;22132.1929;23124.96391;24378.24531;25485.39145;26541.66532;27645.81403;29032.49096;30121.81842;31763.79609;33036.58348;34846.71563;36653.84172;37532.99904;40312.39512;39372.8511;42022.73922;42863.34832;45930.85051;46903.7703;46263.73139;47260.15299;48371.141;50183.68981;52673.06382;53984.1247;58182.33695;65871.77152;70513.47487;71193.21585
Austria;AUT;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19382.96647;20522.18551;21194.7574;21632.31867;22538.07427;23588.4563;24417.6643;25294.72389;26529.18157;27500.08495;29214.73865;29556.40356;30952.17082;31962.92553;33523.0205;34776.66995;37396.0351;39193.81736;41046.79004;40665.50466;41740.11492;44171.56187;46156.48321;47519.85228;48355.49776;49562.59393;52397.86352;53869.83212;56636.4953;60354.92794;58523.03378;62968.94223;70734.94256;70478.78736;71617.90175
Azerbaijan;AZE;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5342.570821;5412.097607;4220.146377;3272.237954;2647.765387;2356.897804;2406.772319;2565.408284;2826.706937;3051.942337;3439.144432;3834.898157;4230.405903;4718.42115;5247.538351;6854.936195;9398.013239;11973.95964;13216.84348;14245.50355;14930.41003;14804.57445;15994.14665;17267.51189;17563.61225;15075.27263;14535.80202;14315.92964;15282.99952;16675.31794;15163.57033;20111.3757;22552.08867;23651.59946;25088.95018
Burundi;BDI;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;598.1641845;635.9966695;639.7262169;633.6631993;618.3740883;547.5608126;512.6244636;513.2123491;533.3456921;522.7524758;519.1150604;528.3111616;544.7944965;531.6874053;551.4323526;552.9177673;579.5713213;593.4637559;608.6704383;604.3678509;613.649849;628.667678;638.8731816;687.3659201;724.3603575;797.4262344;771.9874337;761.2692572;753.4555161;779.1979907;786.5158307;836.6655713;888.5181584;919.5979715;949.8346131
Belgium;BEL;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18675.31219;19587.85535;20258.54745;20459.18915;21504.01177;22431.45936;22736.75807;23727.89752;24368.75741;25440.84119;27788.09088;28796.57958;30282.28865;30934.58265;32063.98269;33177.89095;35258.98506;36799.53187;37883.33194;37885.90591;39844.40544;41244.8495;42483.52507;43864.12042;45147.64295;46084.24246;48414.55181;50256.06318;52466.73308;56712.46957;56120.09584;60669.21377;68157.83479;69059.17683;72126.00289
Benin;BEN;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1186.116069;1239.224997;1265.252419;1311.344493;1316.244325;1395.266444;1443.967713;1507.924154;1537.143826;1592.137821;1671.357252;1745.982562;1799.882696;1841.602973;1915.346443;1945.564141;2020.605677;2135.537879;2215.351639;2213.328956;2220.328546;2264.841869;2346.084162;2511.653096;2670.415614;2725.337248;2842.024626;2885.89384;2965.306281;3148.979696;3244.587728;3464.288629;3844.154157;4129.96612;4434.564218
Burkina Faso;BFA;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;566.9441473;623.2680017;623.3849953;644.0354644;649.8424076;683.6391516;753.3091667;793.9708414;838.0793553;886.4340907;896.4774815;947.9193747;973.9839334;1037.837994;1079.000091;1171.764323;1244.002438;1290.49951;1351.360416;1359.692249;1449.422164;1531.343382;1571.838845;1642.892131;1661.317738;1691.579354;1881.758931;2042.402953;2073.323538;2232.16282;2380.722828;2486.430931;2641.870113;2754.713465;2896.187416
